file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230301120-03保护罩组件v1.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,罐体,0.1666058897972107,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,Standard_Part,0.55,False,罐体,0.1666058897972107,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ14240301522-00防爆视灯组件v1.dxf,ok,complex_assembly,0.550,rules,v1,罐体,0.15885485708713531,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,Standard_Part,0.55,False,罐体,0.15885485708713531,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-01人孔v2.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.1714027225971222,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,Standard_Part,0.55,True,传动件,0.1714027225971222,0.17,eligible
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dxf,ok,蜗杆,0.900,fusion,L2-Fusion-v1,传动件,0.16183316707611084,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,Standard_Part,0.6000000000000001,False,传动件,0.16183316707611084,0.17,confidence_source_not_rules
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225048-02-07侧推料组件v2.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.18414387106895447,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,Standard_Part,0.55,True,传动件,0.18414387106895447,0.17,eligible
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224025-06-01-03出料凸缘v2.dxf,ok,complex_assembly,0.550,rules,v1,传动件,0.17034751176834106,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,Standard_Part,0.55,True,传动件,0.17034751176834106,0.17,eligible
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01239601522-03扭转弹簧v2.dxf,ok,moderate_component,0.600,rules,v1,传动件,0.16733375191688538,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,Standard_Part,0.55,False,传动件,0.16733375191688538,0.17,below_threshold
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230101102-12手轮组件v1.dxf,ok,moderate_component,0.600,rules,v1,传动件,0.19683055579662323,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,Standard_Part,0.55,True,传动件,0.19683055579662323,0.17,eligible
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825003-05下筒体组件v2.dxf,ok,complex_assembly,0.550,rules,v1,罐体,0.1765483021736145,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,Standard_Part,0.55,True,罐体,0.1765483021736145,0.17,eligible
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-01下锥体组件v3.dxf,ok,机械制图,0.900,fusion,L2-Fusion-v1,罐体,0.1686006337404251,0.965337,reports/experiments/20260123/GRAPH2D_TEMPERATURE_CALIBRATION_20260124.json,Standard_Part,0.55,False,罐体,0.1686006337404251,0.17,confidence_source_not_rules
